date,weight_market,weight_IPO
2025-11-26,0.5869349,0.41306505
2025-11-28,0.58697855,0.41302142
2025-12-01,0.5869344,0.41306564
2025-12-02,0.5868842,0.41311583
2025-12-03,0.58689547,0.4131046
2025-12-04,0.5869724,0.41302758
2025-12-05,0.58705103,0.41294897
2025-12-08,0.58689505,0.41310498
2025-12-09,0.5868699,0.4131301
2025-12-10,0.586958,0.41304204
2025-12-11,0.58689886,0.4131011
2025-12-12,0.5869197,0.41308025
2025-12-15,0.58676267,0.41323727
2025-12-16,0.5868014,0.41319853
2025-12-17,0.58688134,0.41311872
2025-12-18,0.58682716,0.41317284
2025-12-19,0.5869328,0.41306713
2025-12-22,0.5869731,0.41302696
2025-12-23,0.5869678,0.41303226
2025-12-24,0.5868833,0.4131167
2025-12-26,0.5869039,0.41309607
2025-12-29,0.5868535,0.41314656
2025-12-30,0.58687127,0.41312864
2025-12-31,0.5868673,0.41313273
