run,best_val_loss,test_loss,epochs,test_Sharpe_ann,test_ann_return,test_total_return,test_max_drawdown,test_ann_vol,test_avg_turnover,overrides
baseline,0.008267,0.014113,24,1.5297,24.32%,24.32%,-14.62%,,,
lr_1e-3,0.004009,0.002385,12,1.6206,28.06%,28.06%,-12.69%,,,"{""lr"": 0.001}"
weight_decay_1e-4,-0.002440,-0.001782,16,1.7080,24.72%,24.72%,-9.26%,,,"{""weight_decay"": 0.0001}"
weight_decay_0,-0.002456,-0.001795,15,1.6958,25.07%,25.07%,-9.61%,,,"{""weight_decay"": 0.0}"
dropout_0.2,0.005983,0.012893,29,1.5388,23.88%,23.88%,-14.24%,,,"{""dropout"": 0.2}"
cosine_lr,0.008698,0.014089,24,1.5309,24.50%,24.50%,-14.64%,,,"{""cosine_lr"": true}"
batch_32,0.002072,0.007209,22,1.5908,25.36%,25.36%,-12.71%,,,"{""batch_size"": 32}"
batch_128,0.004251,0.001286,18,1.6123,32.03%,32.03%,-13.20%,,,"{""batch_size"": 128}"
hidden_64,0.011133,0.017729,30,1.5422,26.18%,26.18%,-15.25%,,,"{""hidden_size"": 64}"
lambda_vol_1.0,0.008273,0.014081,24,1.5299,24.31%,24.31%,-14.61%,,,"{""lambda_vol"": 1.0}"
lambda_cvar_0.5,0.008905,0.015042,24,1.5283,24.20%,24.20%,-14.68%,,,"{""lambda_cvar"": 0.5}"
